trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
23,False,"{'a': 1.0, 'e': 0.041666666666666664}",25,0,7.34808450272262,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
24,False,"{'a': 1.0, 'e': 0.04}",25,9,13.21469134071543,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 1.0, 'e': 0.038461538461538464}",30,0,43.73097432583324,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 1.0, 'e': 0.037037037037037035}",20,8,4.739994451252646,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
27,False,"{'a': 1.0, 'e': 0.03571428571428571}",20,0,0.2516912904218138,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
28,False,"{'a': 1.0, 'e': 0.034482758620689655}",30,16,21.174100099453124,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 1.0, 'e': 0.03333333333333333}",30,0,29.937039067152618,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
30,False,"{'a': 1.0, 'e': 0.03225806451612903}",30,4,21.68886730417461,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 1.0, 'e': 0.03125}",20,0,17.991638245348433,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
32,False,"{'a': 1.0, 'e': 0.030303030303030304}",25,15,17.82835905388646,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 1.0, 'e': 0.029411764705882353}",20,0,29.076761078545786,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 1.0, 'e': 0.02857142857142857}",30,0,34.279584902029995,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
35,False,"{'a': 1.0, 'e': 0.027777777777777776}",20,0,-9.655056508316909,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
36,False,"{'a': 1.0, 'e': 0.02702702702702703}",20,6,19.539060181120455,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 1.0, 'e': 0.02631578947368421}",25,11,26.987164215308795,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 1.0, 'e': 0.02564102564102564}",30,13,-35.22183828326315,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
39,False,"{'a': 1.0, 'e': 0.025}",20,5,18.543635885425516,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 1.0, 'e': 0.024390243902439025}",20,0,-9.001624350475659,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
41,False,"{'a': 1.0, 'e': 0.023809523809523808}",25,15,14.340655045603318,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
